,ServiceProvider,TestType,LSA,month,DataSpeed,RxLevel
2823,JIO,download,Bihar,2019-12-01,19587.52325965028,-90.5866050808314
2824,JIO,download,Bihar,2020-01-01,24919.94924137931,-80.12551724137931
2825,JIO,download,Bihar,2020-02-01,19619.771604938273,-86.88117283950618
2826,JIO,download,Bihar,2020-03-01,20664.968894009216,-86.08870967741936
2827,JIO,download,Bihar,2020-04-01,13659.458284827318,-87.95537446643384
2828,JIO,download,Bihar,2020-05-01,12432.012770682953,-89.47695724597446
2829,JIO,download,Bihar,2020-06-01,10433.101244101244,-89.34191334191334
2830,JIO,download,Bihar,2020-07-01,12788.918156424581,-86.98240223463687
2831,JIO,download,Bihar,2020-08-01,9393.958801498127,-88.82105701206825
2832,JIO,download,Bihar,2020-09-01,23280.931517821387,-79.3872647176612
2833,JIO,download,Bihar,2020-10-01,7235.350790513834,-84.67687747035573
2834,JIO,download,Bihar,2020-11-01,3965.518052057095,-85.82703610411419
2835,JIO,download,Bihar,2020-12-01,4349.5195246179965,-83.38455008488964
2836,JIO,download,Chennai,2018-09-01,20607.075753461853,-84.25875644854737
2837,JIO,download,Chennai,2018-10-01,36780.051185344826,-79.75808189655173
2838,JIO,download,Chennai,2018-11-01,18567.737825216813,-86.58505670446965
2839,JIO,download,Chennai,2018-12-01,10079.384668270883,-92.43966998968718
2840,JIO,download,Chennai,2019-01-01,8291.85798816568,-95.22366863905326
2841,JIO,download,Chennai,2019-02-01,8579.311424100157,-94.55985915492958
2842,JIO,download,Chennai,2019-03-01,7508.405672823219,-95.23647757255937
2843,JIO,download,Chennai,2019-04-01,8138.971659919029,-93.86549707602339
2844,JIO,download,Chennai,2019-05-01,9234.80682764363,-93.11240632805995
2845,JIO,download,Chennai,2019-06-01,8635.251406074241,-93.17997750281215
2846,JIO,download,Chennai,2019-07-01,7735.151801535735,-94.09686946249262
2847,JIO,download,Chennai,2019-08-01,7639.606324972738,-95.3680479825518
2848,JIO,download,Chennai,2019-09-01,6435.425659472422,-95.49760191846522
2849,JIO,download,Chennai,2019-10-01,7423.690721649485,-94.97005400098183
